sep=,
"Date","Delivery Date","Document No.","Customer Ref.","Customer","Exclusive","VAT","Total","Sales Rep","Status"
"30/03/2026","30/04/2026","SO4496","PO:01027016 - HANDLING FEE","VOLTEX THOHOYANDOU.","1248","187.2","1435.2","Mashudu Tshifularo","Invoiced"
"30/03/2026","31/07/2026","SO4517","PO:0000426","Compu Cool (Pty) Ltd","147264","22089.6","169353.6","Mashudu Tshifularo","Pending"
"31/03/2026","31/03/2026","SO4497","FM3970","GMN Trading Enterprise","5392","808.8","6200.8","Simon Mokgola","Invoiced"
"31/03/2026","01/04/2026","SO4498","FM3971","JOEL MARK","3116","467.4","3583.4","Simon Mokgola","Invoiced"
"31/03/2026","31/03/2026","SO4499","CRAIG","Hucra Fans","2100","315","2415","Sales Agent Hucra Fans","Invoiced"
"31/03/2026","31/03/2026","SO4500","CASH SALE","DJ Air Conditioning","355","53.25","408.25","Simon Mokgola","Invoiced"
"31/03/2026","30/04/2026","SO4501","210733","Kenmare Moma Processing (Mauritius) Limited","6781","0","6781","Sizwe Tshabalala","Invoiced"
"31/03/2026","29/06/2026","SO4502","210719","Kenmare Moma Processing (Mauritius) Limited","103711","0","103711","ROA - Mozambique","Invoiced"
"31/03/2026","28/05/2026","SO4525","211035","Kenmare Moma Processing (Mauritius) Limited","83433","0","83433","Sizwe - R.O.A","Invoiced"
"31/03/2026","24/04/2026","SO4533","Ekurhuleni East College01","Bokamoso Civil","32235","4835.25","37070.25","Simon Mokgola","Invoiced"
"31/03/2026","22/05/2026","SO4597","FM4078-4081 - REA VAYA - ROOF LEVEL","TESLA COMMS","65466","9819.9","75285.9","Simon Mokgola","Invoiced"
"01/04/2026","01/04/2026","SO4503","PO-3820","Centrifab (Pty) Ltd","982","147.3","1129.3","Mashudu Tshifularo","Invoiced"
"02/04/2026","02/04/2026","SO4504","4000237313","barloworld Power","9858","1478.7","11336.7","Simon Mokgola","Invoiced"
"07/04/2026","30/04/2026","SO4506","14264","Arta Masjinerie","50968","7645.2","58613.2","Simon Mokgola","Invoiced"
"08/04/2026","09/04/2026","SO4507","FM3982 - Exxaro Coal Matla","Jobe Technical Trading","26936","4040.4","30976.4","Simon Mokgola","Invoiced"
"08/04/2026","08/04/2026","SO4508","3222612","Rehrco","21932.91","3289.94","25222.85","Sizwe Tshabalala","Invoiced"
"08/04/2026","08/04/2026","SO4509","FM3983","JOEL MARK","1179","176.85","1355.85","Simon Mokgola","Invoiced"
"08/04/2026","30/04/2026","SO4510","62048","Chabo & Joubert Air Conditioning (Pty) Ltd","43994","6599.1","50593.1","Sizwe Tshabalala","Invoiced"
"08/04/2026","17/04/2026","SO4511","M110053","The Pekay Group (pty)Ltd","41726","6258.9","47984.9","Simon Mokgola","Invoiced"
"08/04/2026","09/04/2026","SO4512","PO103727","Industrial Thermodynamics (PTY) LTD","41648","6247.2","47895.2","Mashudu Tshifularo","Invoiced"
"09/04/2026","10/04/2026","SO4513","PO2247","Hucra Fans","1467","220.05","1687.05","Sales Agent Hucra Fans","Invoiced"
"10/04/2026","13/04/2026","SO4515","PO:01003671","Cabmed PTY LTD","40982","6147.3","47129.3","Mashudu Tshifularo","Invoiced"
"10/04/2026","10/04/2026","SO4516","PO2249","Hucra Fans","12114","1817.1","13931.1","Sales Agent Hucra Fans","Invoiced"
